step,epsilon,loss,step_reward,avg_reward_ema,q_up,q_down,q_left,q_right,q_idle,q_pick,q_drop
36000,0.20702766257838023,0.001577889546751976,-5.25,-5.2569539191618935,-1.0571292638778687,-1.0631623268127441,-1.0622262954711914,-1.0668269395828247,-1.048844575881958,-0.7581225633621216,-1.7301292419433594
37000,0.199369333105125,0.0016623868141323328,-5.25,-5.276475916698172,-1.0754328966140747,-1.0749893188476562,-1.0736188888549805,-1.0783774852752686,-1.0570991039276123,-0.7297683954238892,-1.805965781211853
38000,0.1920845047676435,0.001443416578695178,-5.25,-5.2864425252412355,-1.0510547161102295,-1.057921051979065,-1.0565850734710693,-1.0868879556655884,-1.068056344985962,-0.7429649233818054,-1.5924428701400757
39000,0.18515496170059448,0.0025737942196428776,-5.25,-5.313544303211157,-1.053352952003479,-1.0463526248931885,-1.0593211650848389,-1.0508540868759155,-1.053626298904419,-0.7269908785820007,-1.6081535816192627
40000,0.17856337643687253,0.0009293851326219738,-5.25,-5.340857339912932,-1.2035506963729858,-1.4228795766830444,-1.3561238050460815,-1.0893582105636597,-1.1415799856185913,-0.7506575584411621,-1.1627142429351807
41000,0.1722932665799149,0.0008668068912811577,-5.25,-5.296381301385485,-1.0579116344451904,-1.0582339763641357,-1.051198959350586,-1.0535728931427002,-1.0426757335662842,-0.7359839677810669,-1.682080626487732
42000,0.16632895358912486,0.0018361372640356421,-5.25,-5.268231023224774,-1.049828052520752,-1.0706204175949097,-1.04942786693573,-1.0546953678131104,-1.0420526266098022,-0.7269712686538696,-1.8070961236953735
43000,0.16065552357535345,0.001952426042407751,-5.25,-5.362250887382343,-1.0822088718414307,-1.138153314590454,-1.0930943489074707,-1.0678269863128662,-1.0645489692687988,-0.78460693359375,-1.6783736944198608
44000,0.1552587900084087,0.00175790349021554,-5.25,-5.250954725161962,-1.0516242980957031,-1.051485538482666,-1.0584161281585693,-1.0544036626815796,-1.0482124090194702,-0.7457221746444702,-1.7234914302825928
45000,0.15012525824334014,0.0009003826999105513,-5.25,-5.4113887049684095,-1.2436821460723877,-1.060961365699768,-1.3665982484817505,-1.4494545459747314,-1.1555496454238892,-0.5701449513435364,-1.582924246788025
46000,0.14524209177679778,0.0010183437261730433,-5.25,-5.257998036001779,-1.0598502159118652,-1.0479893684387207,-1.0493569374084473,-1.0569177865982056,-1.0568928718566895,-0.7492852210998535,-1.527604341506958
47000,0.14059708014908756,0.0011620819568634033,-5.25,-5.2549774242550535,-1.0476337671279907,-1.054002285003662,-1.0571013689041138,-1.0441176891326904,-1.052939772605896,-0.7300070524215698,-1.892417311668396
48000,0.13617860841166157,0.0009092516847886145,-5.25,-5.256698705161063,-1.051781415939331,-1.0542937517166138,-1.0585973262786865,-1.0507148504257202,-1.048418402671814,-0.7362948656082153,-1.6502927541732788
