step,epsilon,loss,step_reward,avg_reward_ema,q_up,q_down,q_left,q_right,q_idle,q_pick,q_drop
39000,0.18515496170059448,0.0008039511158131063,-5.25,-5.272707795818201,-1.06825852394104,-1.0664136409759521,-1.0882508754730225,-1.0625168085098267,-1.0648448467254639,-0.8556541204452515,-0.8882937431335449
40000,0.17856337643687253,0.001225616317242384,-5.25,-5.255326871239635,-1.0533666610717773,-1.054063081741333,-1.0596531629562378,-1.0541164875030518,-1.0489481687545776,-0.8526433706283569,-0.9436508417129517
41000,0.1722932665799149,0.001597374677658081,-6.25,-5.336640021141044,-1.3010467290878296,-1.2407433986663818,-1.1353223323822021,-1.2523131370544434,-1.1307142972946167,-0.7773783802986145,-0.6844375133514404
42000,0.16632895358912486,0.0014187055639922619,-5.25,-5.261995462268241,-1.0609346628189087,-1.0979112386703491,-1.139756441116333,-1.1387913227081299,-1.0443423986434937,-0.7965030074119568,-0.8161537051200867
43000,0.16065552357535345,0.0013094644527882338,-5.25,-5.29637760992684,-1.0450308322906494,-1.0533497333526611,-1.1572059392929077,-1.0738394260406494,-1.0862228870391846,-0.8171542882919312,-0.9045222997665405
44000,0.1552587900084087,0.0028854315169155598,-6.25,-5.7586361062379305,-1.1851857900619507,-1.2558863162994385,-1.2103254795074463,-1.211616039276123,-1.2361575365066528,-0.8749182820320129,-0.8374765515327454
45000,0.15012525824334014,0.001474341843277216,-5.25,-5.369786005842907,-1.1441936492919922,-1.3278131484985352,-1.297057867050171,-1.2818944454193115,-1.1135152578353882,-0.7140914797782898,-0.47061723470687866
46000,0.14524209177679778,0.0017363389488309622,-5.25,-5.412618694481094,-1.0661828517913818,-1.0526995658874512,-1.0969197750091553,-1.0739339590072632,-1.0698312520980835,-0.8559738397598267,-0.9265015721321106
47000,0.14059708014908756,0.002715964103117585,-5.25,-5.258707239113687,-1.054195761680603,-1.0503253936767578,-1.1634817123413086,-1.1302783489227295,-1.0776735544204712,-0.8181902170181274,-0.8888257145881653
48000,0.13617860841166157,0.0008175602415576577,-5.25,-5.265419020559022,-1.1074042320251465,-1.0777500867843628,-1.085418462753296,-1.0746296644210815,-1.0597338676452637,-0.8635775446891785,-0.9510356187820435
